#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:38:02       0    298     45      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:02       1    288     61      -    100     16      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:03       0    292     44      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:03       1    281     61      -    100     16      0      0      0      0   9501   1905  23289  23289      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:38:04       0    293     44      -     97     19      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:04       1    282     61      -     97     19      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:05       0    298     45      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:05       1    287     62      -    100     16      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:06       0    292     45      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:06       1    282     62      -    100     17      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:07       0    299     46      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:07       1    290     63      -    100     17      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:08       0    294     45      -    100     18      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:08       1    283     63      -    100     19      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:09       0    294     46      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:09       1    284     63      -    100     17      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:10       0    300     46      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:10       1    290     64      -    100     17      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:38:11       0    295     46      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:11       1    286     64      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:12       0    297     47      -     98     28      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:12       1    291     65      -     98     29      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:13       0    294     47      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:13       1    286     65      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:14       0    295     47      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:14       1    287     65      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:15       0    301     48      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:15       1    292     65      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:16       0    292     48      -    100     17      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:16       1    284     65      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:17       0    301     46      -    100     24      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:17       1    292     64      -     99     26      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:18       0    293     48      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:18       1    286     65      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:19       0    299     48      -     98     23      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:19       1    291     65      -     98     24      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:20       0    297     48      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:20       1    290     66      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:21       0    295     48      -    100     16      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:21       1    287     66      -    100     17      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:22       0    296     47      -     89     24      0      0      0      0   9501   1965  23289      4      0
 20260816    02:38:22       1    287     64      -     81     23      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:23       0    294     49      -    100     16      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:23       1    286     66      -    100     16      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:24       0    292     48      -     98     21      0      0      0      0   9501   1950  23289      4      0
 20260816    02:38:24       1    287     66      -     99     21      0      0      0      0   9501   1890  23289  23289      0
 20260816    02:38:25       0    299     49      -    100     17      0      0      0      0   9501   1950  23289      4      0
