# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    331     72      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    799    770 
    0    348     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    766    778 
    1    324     72      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    778 
    0    349     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    750    771 
    1    325     72      -     98     84      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    804    782 
    0    350     63      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    768    776 
    1    326     72      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    778 
    0    348     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    758    771 
    1    324     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    720    700 
    0    355     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    666    686 
    1    332     72      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    764    790 
    0    355     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    761    763 
    1    332     72      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    766    774 
    0    355     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   1218   2135 
    1    332     72      -     98     84      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1952   2106 
    0    348     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    752    766 
    1    325     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    807    769 
    0    346     62      -     99     41      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    771    778 
    1    322     72      -     99     38      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    812    776 
    0    354     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    764 
    1    332     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    805    769 
    0    342     63      -    100     18      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    754    763 
    1    320     73      -    100     18      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    807    776 
    0    354     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2637   2850 
    1    331     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2633   2849 
    0    340     63      -    100     18      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    780    776 
    1    317     73      -    100     18      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    796    770 
    0    354     62      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   1824    778 
    1    332     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    778 
    0    348     63      -     99     29      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    982   2134 
    1    325     73      -     99     31      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1975   2134 
    0    349     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    778    777 
    1    326     73      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    818    782 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    354     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    765    780 
    1    332     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    803    782 
    0    355     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    747    925 
    1    333     73      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1938   2100 
    0    348     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    760    772 
