# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    312     70      -     99     64      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2414   2213 
    0    329     60      -     99     47      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2642   2901 
    1    313     70      -     99     50      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2677   1776 
    0    325     60      -    100     37      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    774    637 
    1    310     70      -     99     41      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    636    658 
    0    327     60      -     99     41      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    761    654 
    1    311     71      -     99     40      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    593    665 
    0    326     60      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    785    627 
    1    311     70      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    592    701 
    0    327     60      -     99     73      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    769    745 
    1    311     71      -     99     71      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    764    608 
    0    330     60      -     99     73      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    795    709 
    1    314     70      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1416   2806 
    0    329     60      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2357   2501 
    1    311     71      -     99     66      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2213   2829 
    0    327     60      -     99     67      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   1481    714 
    1    310     70      -     99     63      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    648    665 
    0    327     61      -     99     72      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    843    735 
    1    310     71      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    636    664 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    327     61      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    807   2241 
    1    310     70      -     99     74      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2428   2676 
    0    330     61      -     99     52      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   1977   2698 
    1    313     71      -     99     48      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2461   2689 
    0    328     61      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    731    722 
    1    312     71      -     99     74      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    670    664 
    0    331     61      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    766    716 
    1    314     71      -     99     76      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    652    658 
    0    332     62      -     99     63      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2346   2469 
    1    315     71      -     99     67      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1326    671 
    0    328     61      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2409   2632 
    1    313     70      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2547   2732 
    0    328     62      -     99     48      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    749    710 
    1    311     71      -     99     47      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    693    735 
    0    329     62      -     99     76      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    780    713 
    1    312     71      -     99     77      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    662    665 
    0    329     62      -     99     74      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    771    707 
    1    312     71      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    691    665 
    0    328     62      -     99     75      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    771    676 
    1    311     71      -     99     76      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    655    714 
    0    331     63      -     99     59      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    776    719 
    1    314     71      -     99     59      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1752   2532 
    0    330     62      -     99     73      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    804    712 
    1    312     71      -     99     74      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    691    704 
    0    328     63      -    100     25      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    765    714 
