# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    378     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    374     62      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    374     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    360     61      -    100     34      0      0      0      0   9501   1965  23289      4      0
    1    336     74      -    100     34      0      0      0      0   9501   1875  23289  23289      0
    0    360     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    333     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
