# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    366     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    366     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     64      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     64      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    331     63      -    100     56      0      0      0      0   9501   1950  23289      4      0
    1    314     72      -    100     58      0      0      0      0   9501   1890  23289  23289      0
    0    323     63      -    100     19      0      0      0      0   9501   1950  23289      4      0
    1    307     72      -    100     19      0      0      0      0   9501   1890  23289  23289      0
    0    349     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    332     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    331     63      -    100     39      0      0      0      0   9501   1950  23289      4      0
    1    315     72      -    100     41      0      0      0      0   9501   1890  23289  23289      0
    0    320     63      -    100     23      0      0      0      0   9501   1950  23289      4      0
    1    305     72      -    100     23      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    356     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    340     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    366     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    339     62      -    100     19      0      0      0      0   9501   1950  23289      4      0
    1    319     72      -    100     19      0      0      0      0   9501   1890  23289  23289      0
    0    322     62      -    100     24      0      0      0      0   9501   1950  23289      4      0
